1 , 1 , 1, 0
2 , 1 , 2, 0
3 , 1 , 3, 0
4 , 1 , 4, 0
5 , 1 , 5, 0
6 , 1 , 6, 0
7 , 1 , 7, 0
8 , 1 , 8, 0
9 , 1 , 9, 0
10 , 1 , 10, 0
11 , 1 , 11, 0
12 , 1 , 12, 0
13 , 1 , 13, 0
14 , 1 , 14, 0
15 , 1 , 15, 0
16 , 1 , 16, 0
17 , 0 , 16, 0
18 , 0 , 16, 0
19 , 0 , 16, 0
20 , 0 , 16, 0
21 , 0 , 16, 0
22 , 0 , 16, 0
23 , 0 , 16, 0
24 , 0 , 16, 0
25 , 0 , 16, 0
26 , 0 , 16, 0
27 , 0 , 16, 0
28 , 0 , 16, 0
29 , 0 , 16, 0
30 , 1 , 17, 0
31 , 1 , 18, 0
32 , 0 , 18, 0
33 , 0 , 18, 0
34 , 0 , 18, 0
35 , 1 , 19, 0
36 , 1 , 20, 0
37 , 1 , 21, 0
38 , 1 , 22, 0
39 , 1 , 23, 0
40 , 1 , 24, 0
41 , 1 , 25, 0
42 , 1 , 26, 0
43 , 1 , 27, 0
44 , 1 , 28, 0
45 , 1 , 29, 0
46 , 1 , 30, 0
47 , 1 , 31, 0
48 , 1 , 32, 0
49 , 1 , 33, 0
50 , 1 , 34, 0
51 , 1 , 35, 0
52 , 1 , 36, 0
53 , 1 , 37, 0
54 , 1 , 38, 0
55 , 1 , 39, 0
56 , 1 , 40, 0
57 , 1 , 41, 0
58 , 1 , 42, 0
59 , 1 , 43, 0
60 , 1 , 44, 0
61 , 1 , 45, 0
62 , 1 , 46, 0
63 , 1 , 47, 0
64 , 1 , 48, 0
65 , 1 , 49, 0
66 , 1 , 50, 0
67 , 1 , 51, 0
68 , 1 , 52, 0
69 , 1 , 53, 0
70 , 1 , 54, 0
71 , 1 , 55, 0
72 , 1 , 56, 0
73 , 1 , 57, 0
74 , 1 , 58, 0
75 , 1 , 59, 0
76 , 1 , 60, 0
77 , 1 , 61, 0
78 , 1 , 62, 0
79 , 1 , 63, 0
80 , 1 , 64, 0
81 , 1 , 65, 0
82 , 1 , 66, 0
83 , 1 , 67, 0
84 , 1 , 68, 0
85 , 1 , 69, 0
86 , 1 , 70, 0
87 , 1 , 71, 0
88 , 1 , 72, 0
89 , 1 , 73, 0
90 , 1 , 74, 0
91 , 1 , 75, 0
92 , 1 , 76, 0
93 , 1 , 77, 0
94 , 1 , 78, 0
95 , 1 , 79, 0
96 , 1 , 80, 0
97 , 1 , 81, 0
98 , 1 , 82, 0
99 , 1 , 83, 0
100 , 1 , 84, 0
101 , 1 , 85, 0
102 , 1 , 86, 0
103 , 1 , 87, 0
104 , 1 , 88, 0
105 , 1 , 89, 0
106 , 1 , 90, 0
107 , 1 , 91, 0
108 , 1 , 92, 0
109 , 1 , 93, 0
110 , 1 , 94, 0
111 , 1 , 95, 0
112 , 1 , 96, 0
113 , 1 , 97, 0
114 , 1 , 98, 0
115 , 1 , 99, 0
116 , 1 , 100, 0
117 , 1 , 101, 0
118 , 1 , 102, 0
119 , 1 , 103, 0
120 , 1 , 104, 0
121 , 1 , 105, 0
122 , 1 , 106, 0
123 , 1 , 107, 0
124 , 1 , 108, 0
125 , 1 , 109, 0
126 , 1 , 110, 0
127 , 1 , 111, 0
128 , 1 , 112, 0
129 , 1 , 113, 0
130 , 1 , 114, 0
131 , 1 , 115, 0
132 , 1 , 116, 0
133 , 1 , 117, 0
134 , 1 , 118, 0
135 , 1 , 119, 0
136 , 1 , 120, 0
137 , 1 , 121, 0
138 , 1 , 122, 0
139 , 1 , 123, 0
140 , 1 , 124, 0
141 , 1 , 125, 0
142 , 1 , 126, 0
143 , 1 , 127, 0
144 , 1 , 128, 0
145 , 1 , 129, 0
146 , 1 , 130, 0
147 , 1 , 131, 0
148 , 1 , 132, 0
149 , 1 , 133, 0
150 , 1 , 134, 0
151 , 1 , 135, 0
152 , 1 , 136, 0
153 , 1 , 137, 0
154 , 1 , 138, 0
155 , 1 , 139, 0
156 , 1 , 140, 0
157 , 1 , 141, 0
158 , 1 , 142, 0
159 , 1 , 143, 0
160 , 1 , 144, 0
161 , 1 , 145, 0
162 , 1 , 146, 0
163 , 1 , 147, 0
164 , 1 , 148, 0
165 , 1 , 149, 0
166 , 1 , 150, 0
167 , 1 , 151, 0
168 , 1 , 152, 0
169 , 1 , 153, 0
170 , 1 , 154, 0
171 , 1 , 155, 0
172 , 1 , 156, 0
173 , 1 , 157, 0
174 , 1 , 158, 0
175 , 1 , 159, 0
176 , 1 , 160, 0
177 , 1 , 161, 0
178 , 1 , 162, 0
179 , 1 , 163, 0
180 , 1 , 164, 0
181 , 1 , 165, 0
182 , 1 , 166, 0
183 , 1 , 167, 0
184 , 1 , 168, 0
185 , 1 , 169, 0
186 , 1 , 170, 0
187 , 1 , 171, 0
188 , 1 , 172, 0
189 , 1 , 173, 0
190 , 1 , 174, 0
191 , 1 , 175, 0
192 , 1 , 176, 0
193 , 1 , 177, 0
194 , 1 , 178, 0
195 , 1 , 179, 0
196 , 1 , 180, 0
197 , 1 , 181, 0
198 , 1 , 182, 0
199 , 1 , 183, 0
200 , 1 , 184, 0
